store_id,item_id,actual_demand_units,holdout_start_date,holdout_end_date,holdout_days
CA_1,FOODS_3_001,5.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_002,37.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_003,15.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_004,24.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_005,16.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_006,11.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_007,52.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_008,50.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_009,10.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_010,18.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_011,41.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_012,56.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_013,94.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_014,31.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_015,41.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_016,94.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_017,3.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_018,52.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_019,71.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_020,284.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_021,41.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_022,10.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_023,50.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_024,0.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_025,41.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_026,58.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_027,15.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_028,38.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_029,26.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_030,205.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_031,29.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_032,27.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_033,10.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_034,69.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_035,28.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_036,19.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_037,197.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_038,25.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_039,173.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_040,25.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_041,139.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_042,87.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_043,46.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_044,14.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_045,7.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_046,40.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_047,29.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_048,46.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_049,24.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_050,2.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_001,2.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_002,28.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_003,8.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_004,3.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_005,35.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_006,18.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_007,43.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_008,51.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_009,7.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_010,8.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_011,11.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_012,4.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_013,10.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_014,4.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_015,39.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_016,12.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_017,5.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_018,10.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_019,15.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_020,64.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_021,18.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_022,10.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_023,21.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_024,0.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_025,35.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_026,35.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_027,15.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_028,21.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_029,13.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_030,332.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_031,30.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_032,31.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_033,7.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_034,34.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_035,11.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_036,2.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_037,32.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_038,4.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_039,41.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_040,3.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_041,48.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_042,96.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_043,7.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_044,5.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_045,15.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_046,2.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_047,29.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_048,52.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_049,8.0,2016-04-25,2016-05-22,28
TX_1,FOODS_3_050,4.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_001,10.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_002,111.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_003,30.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_004,10.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_005,18.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_006,27.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_007,143.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_008,125.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_009,3.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_010,49.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_011,57.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_012,25.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_013,60.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_014,23.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_015,49.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_016,46.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_017,8.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_018,15.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_019,39.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_020,131.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_021,9.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_022,10.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_023,17.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_024,0.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_025,53.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_026,33.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_027,23.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_028,15.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_029,58.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_030,185.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_031,39.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_032,31.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_033,21.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_034,20.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_035,22.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_036,12.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_037,67.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_038,21.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_039,202.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_040,48.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_041,56.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_042,444.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_043,23.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_044,35.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_045,18.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_046,49.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_047,28.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_048,98.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_049,7.0,2016-04-25,2016-05-22,28
WI_1,FOODS_3_050,6.0,2016-04-25,2016-05-22,28
